Date, Open, High, Low,Close
04/12/2013,6415.63,6416.14,6368.2,6384.39
04/11/2013,6387.3,6423.56,6377.54,6416.14
04/10/2013,6313.47,6405.2,6313.2,6387.37
04/09/2013,6276.96,6326.54,6276.96,6313.21
04/08/2013,6249.89,6289.59,6249.89,6276.94
04/05/2013,6344.18,6346.82,6214.36,6249.78
04/04/2013,6420.51,6426.37,6341.43,6344.12
04/03/2013,6490.71,6491.84,6416.67,6420.28
04/02/2013,6411.82,6501.78,6408.84,6490.66
04/01/2013,6411.74,6447.86,6381.99,6411.74
03/29/13,6411.74,6447.86,6381.99,6411.74
03/28/13,6387.54,6447.86,6381.99,6411.74
03/27/13,6399.33,6420.9,6344.19,6387.56
03/26/13,6378.71,6404.52,6369.58,6399.37
03/25/13,6395,6458.53,6366.62,6378.38
03/22/13,6388.48,6426.45,6374.51,6392.76
03/21/13,6433.11,6435.59,6364,6388.55
03/20/13,6441.28,6475.61,6421.29,6432.7
03/19/13,6457.94,6474.57,6414.45,6441.32
03/18/13,6488.71,6488.73,6386.17,6457.92
03/15/13,6529.49,6533.78,6470.1,6489.65
03/14/13,6481.5,6532.57,6478.54,6529.41
03/13/13,6510.6,6510.6,6437.61,6481.5
03/12/2013,6503.48,6533.99,6491.75,6510.62
03/11/2013,6483.69,6505.3,6473.56,6503.63
03/08/2013,6439.2,6489.54,6439.2,6483.58
03/07/2013,6427.56,6459.68,6427.31,6439.16
03/06/2013,6432.32,6460.96,6418.72,6427.64
03/05/2013,6345.72,6437.34,6344.78,6431.95
03/04/2013,6379.27,6379.29,6333.17,6345.63
03/01/2013,6360.61,6391.67,6308.56,6378.6
02/28/13,6325.94,6372,6325.94,6360.81
02/27/13,6270.46,6335.9,6269.26,6325.88
02/26/13,6355.17,6355.17,6258.62,6270.44
02/25/13,6335.57,6390.09,6323.98,6355.37
02/22/13,6291.49,6347.25,6291.49,6335.7
02/21/13,6395.31,6395.31,6277.96,6291.54
02/20/13,6379.06,6412.44,6368.2,6395.37
02/19/13,6318.43,6385.14,6304.4,6379.07
02/18/13,6327.97,6330.17,6306.83,6318.19
02/15/13,6326.93,6352.2,6309.78,6328.26
02/14/13,6359.35,6364.72,6302,6327.36
02/13/13,6338.29,6384.7,6311.59,6359.11
02/12/2013,6277.1,6338.38,6259.82,6338.38
02/11/2013,6263.95,6294.81,6252.31,6277.06
02/08/2013,6228.5,6278.07,6228.5,6263.93
02/07/2013,6295.27,6313,6216.72,6228.42
02/06/2013,6282.78,6321.45,6265.55,6295.34
02/05/2013,6246.92,6296.47,6244.07,6282.76
02/04/2013,6347.26,6347.26,6236.66,6246.84
02/01/2013,6276.91,6353.95,6275.5,6347.24
01/31/13,6322.4,6322.57,6276.88,6276.88
01/30/13,6339.15,6354.46,6316.29,6323.11
01/29/13,6294.38,6346.37,6285.77,6339.19
01/28/13,6284.63,6311.26,6277.04,6294.41
01/25/13,6264.89,6284.45,6247.33,6284.45
01/24/13,6197.51,6271.4,6186.48,6264.91
01/23/13,6179.15,6200.49,6178.47,6197.64
01/22/13,6180.86,6188.58,6149.18,6179.17
01/21/13,6154.52,6182.23,6154.52,6180.98
01/18/13,6131.93,6172.49,6131.93,6154.41
01/17/13,6103.93,6135.89,6087.49,6132.36
01/16/13,6117.33,6117.33,6076.12,6103.98
01/15/13,6107.88,6117.31,6086.21,6117.31
01/14/13,6121.53,6134.17,6104.9,6107.86
01/11/2013,6101.53,6121.58,6095.07,6121.58
01/10/2013,6098.65,6118.3,6090.61,6101.51
01/09/2013,6053.68,6112.27,6053.66,6098.65
01/08/2013,6064.49,6088.18,6053.63,6053.63
01/07/2013,6089.82,6091.5,6060.75,6064.58
01/04/2013,6046.44,6089.84,6038.02,6089.84
01/03/2013,6030.15,6051.3,6016.8,6047.34
01/02/2013,5897.93,6044.57,5897.93,6027.37
01/01/2013,5897.81,5925.43,5873.43,5897.81
12/31/12,5925.38,5925.43,5873.43,5897.81
12/28/12,5954.32,5975.97,5915.32,5925.37
12/27/12,5954.22,5997.04,5942.44,5954.3
12/26/12,5954.18,5957.69,5937.1,5954.18
12/25/12,5954.18,5957.69,5937.1,5954.18
12/24/12,5939.92,5957.69,5937.1,5954.18
12/21/12,5958.34,5958.34,5894.1,5939.99
12/20/12,5961.56,5970.87,5950.07,5958.34
12/19/12,5936.2,5977.82,5936.2,5961.59
12/18/12,5912.23,5946.41,5911.1,5935.9
12/17/12,5921.8,5923.92,5881.01,5912.15
12/14/12,5930,5944.5,5915.34,5921.76
12/13/12,5945.83,5947.85,5918.57,5929.61
12/12/2012,5924.29,5948.5,5915.91,5945.85
12/11/2012,5921.64,5937.93,5908.32,5924.97
12/10/2012,5914.41,5923.97,5891.33,5921.63
